"element_id","sentence_id","negative","neutral","positive","sentence"
"x1","x1",NA,"skipper sticks to to the combination face csk tonight cskvkkr vivoipl kkrhaitaiyaar","winning","Skipper sticks to the winning combination to face CSK tonight 

CSKvKKR VIVOIPL KKRHaiTaiyaar"
"x2","x1",NA,"after his his his first record record of of in in ranji debut against hyderabad here comes second mos","trophy","After his first record of in his Ranji trophy debut against Hyderabad in 
Here comes his second record of mos"
"x3","x1",NA,"after his his his first record record of of in in ranji debut against hyderabad here comes second mos","trophy","After his first record of in his Ranji trophy debut against Hyderabad in 
Here comes his second record of mos"
"x4","x1",NA,"rrvcsk submit your answer here gtgt one will their favourite teams jersey and enter the d","winner win","RRvCSK Submit your answer here gtgt 
One winner will win their favourite teams jersey and enter the d"
"x5","x1",NA,"msdhoni with shahrukhkhan whistlepodu csk",NA,"MSDhoni with ShahRukhKhan 

WhistlePodu CSK"
"x6","x1",NA,"at the the auctions csk built team for these surfacesand theyre but that makes their effo","thriving trophy winning","At the auctions CSK built the team for these surfacesand theyre thriving But that makes their trophy winning effo"
"x7","x1","beaten","this was such an video back then you gotta get used to be by the boys from chennai chennai we are fi","epic","This was such an epic video back then 

You gotta get used to be beaten by the boys from Chennai Chennai we are fi"
"x8","x1",NA,"after his his his first record record of of in in ranji debut against hyderabad here comes second mos","trophy","After his first record of in his Ranji trophy debut against Hyderabad in 
Here comes his second record of mos"
"x9","x1",NA,"man of of simplicity and this heart dhoni dhoni whistlepodu csk msdhoni msd mahi","kind","Man of Simplicity and This kind of Heart 

DHONI
WhistlePodu
CSK
Dhoni MSDhoni MSD Mahi"
"x10","x1",NA,"after his his his first record record of of in in ranji debut against hyderabad here comes second mos","trophy","After his first record of in his Ranji trophy debut against Hyderabad in 
Here comes his second record of mos"
"x11","x1",NA,"the crowd csk and they have really adopted me dhoni whistlepodu cskvkkr","loves","The Crowd loves CSK and they have really adopted me Dhoni WhistlePodu CSKvKKR"
"x12","x1","missing","if ipl is is about i think the csk home crowd all of it one or two low scoring matches are but not","fun fine","If IPL is about fun I think the CSK home crowd is missing all of it One or two low scoring matches are fine but not"
"x13","x1","missed","again number at the points table but batting anyway csk daaaaaaaaa",NA,"Again number at the points table But Missed batting 
Anyway CSK daaaaaaaaa"
"x14","x1",NA,"done teamcontestalert giveaway cricketcontest cricketmerijaan cricketaustralia ipl kkr",NA,"Done teamContestAlert
GiveAway CricketContest CricketMeriJaan CricketAustralia IPL KKR"
"x15","x1",NA,"after his his his first record record of of in in ranji debut against hyderabad here comes second mos","trophy","After his first record of in his Ranji trophy debut against Hyderabad in 
Here comes his second record of mos"
